ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,GW-583340_2.5_BRD-K79930101-300-03-7,G_3-2,1.39999123405232e-13,1.04960327206896,0.680689396639785,1.41851714749814,1.37700337798918e-09
1,GW-583340_2.5_BRD-K79930101-300-03-7,G_4-2,6.50976161864492e-10,0.871501696066462,0.502587820637285,1.24041557149564,2.48212472501545e-06
1,GW-583340_2.5_BRD-K79930101-300-03-7,G_6-3,1.11871464362201e-05,-0.668182354506251,-1.05246136731493,-0.283903341697575,0.00788534364703954
1,WZ8040_2.5_BRD-K81728688-001-04-4,G_6-3,4.3973866120206e-05,-0.69190170829375,-1.11407884074557,-0.269724575841931,0.0213063129253755
1,alvespimycin_2.5_BRD-K83988098-001-02-0,G_4-2,6.57680133118177e-05,-1.32281523711206,-2.14518257497987,-0.500447899244256,0.0291387849248818
1,AZD3514_2.5_BRD-K84996356-001-01-1,G_6-1,5.12897063741358e-05,0.668817290935897,0.257991754989639,1.07964282688215,0.0241375738734318
1,refametinib_2.5_BRD-K85751432-001-03-3,G_3-1,5.25374776572107e-07,-1.61730374390577,-2.44667512828482,-0.787932359526713,0.000645935153425991
1,refametinib_2.5_BRD-K85751432-001-03-3,G_3-2,0.000106733995288155,-0.848620623674999,-1.3884583679073,-0.308782879442701,0.0423312189860982
1,refametinib_2.5_BRD-K85751432-001-03-3,G_4-3,1.57177414972232e-07,1.178513539225,0.597618341586409,1.75940873686359,0.000253436986587521
1,refametinib_2.5_BRD-K85751432-001-03-3,G_6-3,3.2987328513201e-07,1.10156982946667,0.545405020482004,1.65773463845133,0.000444461323000195
1,PD-198306_2.5_BRD-K88677950-001-03-9,G_3-1,5.7865049074568e-06,-1.29724273039464,-2.02361374504999,-0.570871715739294,0.00444004405227271
1,PD-198306_2.5_BRD-K88677950-001-03-9,G_4-3,4.04732391601215e-07,1.03501953543365,0.508630437884962,1.56140863298235,0.000516995695754705
1,PD-198306_2.5_BRD-K88677950-001-03-9,G_6-3,7.85931249080996e-07,0.962685659522916,0.461906368535132,1.4634649505107,0.000888535928702398
1,AS-703026_2.5_BRD-K89014967-001-04-3,G_3-1,2.42153527341138e-07,-2.23124569535357,-3.34698850771543,-1.11550288299171,0.000362825133797495
1,DCEBIO_2.5_BRD-K89299012-001-06-0,G_3-2,1.22535561351e-05,-0.777736555057585,-1.2266531922628,-0.328819917852366,0.00836968940511226
1,doxorubicin_2.5_BRD-K92093830-003-30-8,G_3-0,4.28351744106159e-05,-3.28738989075002,-5.29105255002495,-1.28372723147509,0.0209611048989023
1,doxorubicin_2.5_BRD-K92093830-003-30-8,G_4-0,7.16954068257225e-05,-3.20953657075002,-5.21319923002495,-1.20587391147509,0.0312027293122319
1,doxorubicin_2.5_BRD-K92093830-003-30-8,G_6-0,2.24050212144222e-05,-3.35762907916669,-5.34605453891064,-1.36920361942274,0.0132753799795671
1,doxorubicin_2.5_BRD-K92093830-003-30-8,G_6-2,3.57437492772839e-05,-1.23326852002873,-1.97881817729176,-0.487718862765706,0.0188004475476743
1,RAF265_2.5_BRD-K93123848-001-04-1,G_3-2,1.32959199206084e-11,-1.29564091462924,-1.79699411468611,-0.794287714572365,7.69270642088942e-08
1,RAF265_2.5_BRD-K93123848-001-04-1,G_6-3,7.25973897549581e-05,0.8389428085,0.314892576930602,1.3629930400694,0.0314560971873047
1,ICG-001_2.5_BRD-K94455792-001-01-8,G_3-2,2.07917121519685e-06,-0.791428367008622,-1.21766896110994,-0.365187772907306,0.00197096675795282
1,PHA-665752_2.5_BRD-K95435023-001-10-1,G_3-2,3.18394127839516e-05,-0.575298208352325,-0.921183427525238,-0.229412989179411,0.0172069283659556
1,AZD8931_2.5_BRD-K98572433-001-02-9,G_3-2,1.00606907971201e-06,0.874490763275425,0.415513309011716,1.33346821753913,0.00111185328699229
1,AZD8931_2.5_BRD-K98572433-001-02-9,G_4-2,2.636302994663e-05,0.769550459425424,0.310573005161716,1.22852791368913,0.0149023844798312
1,AZD8931_2.5_BRD-K98572433-001-02-9,G_6-3,4.03368557754247e-05,-0.789283549270833,-1.26903961977112,-0.309527478770546,0.0202421043895879
1,menadione-bisulfite_2.596350183_BRD-A19777893-236-01-9,G_3-2,1.56764579428703e-07,-0.486905287056428,-0.726795541496997,-0.247015032615859,0.000253436986587521
